occupation,soc_code
"Education Administrators, Childcare Center/Program",11-9031
"Education Administrators, Elementary and Secondary School",11-9032
"Education Administrators, Elementary School",11-9032
"Education Administrators, Postsecondary",11-9033
"Education Administrators, Preschool ",11-9031
"Education Administrators, Preschool and Childcare Center/Program",11-9031
"Education Administrators, Secondary School ",11-9032
"Education and Library Science Teachers, Postsecondary",25-1080
"Education Teachers, Postsecondary",25-1081
"Education Workers, All Other",25-9099
"Education, Training, and Library Occupations",25-0000
"Education, Training, and Library Workers, All Other",25-9099
"Education, Training, and Library Workers, Miscellaneous",25-9090
Educational Consultants,25-9031
Educational Counselors,21-1012
Educational Psychology Professors,25-1066
Educational Specialists,25-9031
"Educational, Guidance, School, and Vocational Counselors",21-1012
"Educators, Agricultural Extension ",25-9021
"Educators, Diabetes ",21-1091
"Educators, Health",21-1091
"Educators, Public Health ",21-1091
Efficiency Engineers,17-2112
Egg Graders,45-2041
Egg Packers,53-7064
EKG Technicians,29-2031
Elderly Companions,39-9021
E-Learning Managers,11-3131
Election Clerks,43-4199
Electric Arc Furnace Operators,51-4051
Electric Meter Readers,43-5041
Electric Motor Controls Assemblers,51-2022
Electric Motor Repairers,49-2092
"Electric Motor, Power Tool, and Related Repairers",49-2092
Electric Powerline Examiners,49-9051
Electric Sewer Cleaning Machine Operators,47-4071
Electric Utility Lineworkers,49-9051
Electrical and Electronic Equipment Assemblers,51-2022
"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",49-2000
"Electrical and Electronic Equipment Mechanics, Installers, and Repairers, Miscellaneous",49-2090
Electrical and Electronics Drafters,17-3012
Electrical and Electronics Engineering Technicians,17-3023
Electrical and Electronics Engineers,17-2070
"Electrical and Electronics Installers and Repairers, Transportation Equipment",49-2093
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",49-2094
"Electrical and Electronics Repairers, Powerhouse",49-2095
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",49-2095
"Electrical and Electronics Repairers, Relay",49-2095
"Electrical and Electronics Repairers, Substation",49-2095
Electrical Computer-Aided Design and Drafting Technicians,17-3012
Electrical Design Technicians,17-3023
Electrical Discharge Machine Setup Operators,51-4199
Electrical Drafters,17-3012
Electrical Engineering Professors,25-1032
Electrical Engineering Teachers,25-1032
Electrical Engineering Technicians,17-3023
Electrical Engineers,17-2071
Electrical Equipment Assemblers,51-2022
Electrical High Tension Testers,49-9051
Electrical Inspectors,47-4011
"Electrical Installers, Transportation Equipment",49-2093
Electrical Lineworkers,49-9051
Electrical Parts Reconditioners,49-2092
Electrical Power-Line Installers,49-9051
Electrical Power-Line Installers and Repairers,49-9051
Electrical Power-Line Repairers,49-9051
"Electrical Repairers, Commercial and Industrial Equipment",49-2094
"Electrical Repairers, Powerhouse",49-2095
"Electrical Repairers, Relay",49-2095
"Electrical Repairers, Substation",49-2095
"Electrical Repairers, Transportation Equipment",49-2093
Electrical Sign Wirers,47-2111
Electrical Systems Drafters,17-3012
Electrical Systems Engineers,17-2071
Electrical Timing Device Calibrators,51-2093
"Electrical, Electronics, and Electromechanical Assemblers",51-2020
Electricians,47-2110
Electricians,47-2111
Electricians Helpers,47-3013
"Electricians, Aircraft ",49-2091
"Electricians, Automotive ",49-2096
"Electricians, Locomotive ",49-2093
"Electricians, Master ",47-2111
"Electricians, Powerhouse ",49-2095
"Electricians, Solar Photovoltaic ",47-2111
"Electricians, Solar PV",47-2111
Electroencephalogram (EEG) Technologists,29-2099
Electromechanical Equipment Assemblers,51-2023
Electro-Mechanical Technicians,17-3024
Electron Beam Welder Setters,51-4122
Electroneurodiagnostic Technologists,29-2099
Electronic Design Automation Engineers,17-2072
Electronic Equipment Assemblers,51-2022
"Electronic Equipment Installers and Repairers, Motor Vehicles",49-2096
"Electronic Equipment Installers, Motor Vehicles",49-2096
"Electronic Equipment Repairers, Motor Vehicles",49-2096
Electronic Gaming Device Supervisors,39-1012
Electronic Home Entertainment Equipment Installers,49-2097
Electronic Home Entertainment Equipment Installers and Repairers,49-2097
Electronic Home Entertainment Equipment Repairers,49-2097
Electronic Musical Instrument Repairers,49-2097
Electronic Parts Salespersons,41-2022
Electronic Publishers,43-9031
Electronic Semiconductor Processors,51-9141
Electronic Warfare Specialists,55-3019
Electronics Drafters,17-3012
Electronics Engineering Technicians,17-3023
"Electronics Engineers, Except Computer",17-2072
"Electronics Installers, Transportation Equipment",49-2093
"Electronics Repairers, Commercial and Industrial Equipment",49-2094
"Electronics Repairers, Powerhouse",49-2095
"Electronics Repairers, Relay",49-2095
"Electronics Repairers, Substation",49-2095
"Electronics Repairers, Transportation Equipment",49-2093
Electrostatic Paint Operators,51-9121
Elementary and Middle School Teachers,25-2020
Elementary School Band Directors,25-2021
Elementary School Education Administrators,11-9032
Elementary School Principals,11-9032
"Elementary School Teachers, Except Special Education",25-2021
Elevator Inspectors,47-4011
Elevator Installers,47-4021
Elevator Installers and Repairers,47-4020
Elevator Installers and Repairers,47-4021
Elevator Mechanics,47-4021
Elevator Repairers,47-4021
"Eligibility Interviewers, Government Programs",43-4060
"Eligibility Interviewers, Government Programs",43-4061
Embalmers,39-4010
Embalmers,39-4011
"Embalmers, Licensed ",39-4011
"Embalmers, Restorative Art  ",39-4011
Embedded Systems Software Developers,15-1133
Embroidery Patternmakers,51-6092
Embryologists,19-1029
Emcees,27-3012
Emergency Management Directors,11-9160
Emergency Management Directors,11-9161
Emergency Medical Services (EMS) Drivers,53-3011
Emergency Medical Technicians,29-2041
Emergency Medical Technicians and Paramedics,29-2040
Emergency Medical Technicians and Paramedics,29-2041
Emergency Operators,43-5031
Emergency Preparedness Coordinators,11-9161
Employee Benefits Directors,11-3111
Employee Benefits Specialists,13-1141
Employee Development Directors,11-3131
Employee Relations Specialists,13-1075
EMTs,29-2041
Endodontists,29-1029
End-User Support Specialists,15-1151
Engine and Other Machine Assemblers,51-2030
Engine and Other Machine Assemblers,51-2031
Engine Assemblers,51-2031
Engine Designers,17-2141
Engine Lathe Operators,51-4034
"Engineering and Architecture Teachers, Postsecondary",25-1030
Engineering Design Managers,11-9041
Engineering Managers,11-9041
Engineering Psychologists,19-3032
"Engineering Teachers, Postsecondary",25-1032
"Engineering Technicians, Except Drafters",17-3020
"Engineering Technicians, Except Drafters, All Other",17-3029
Engineers,17-2000
"Engineers, Aeronautical ",17-2011
"Engineers, Aerospace",17-2011
"Engineers, Agricultural",17-2021
"Engineers, Agricultural Production",17-2021
"Engineers, Agricultural Research ",17-2021
"Engineers, Aircraft Design ",17-2011
"Engineers, All Other",17-2199
"Engineers, Architectural",17-2051
"Engineers, Atomic Process ",17-2161
"Engineers, Audio ",27-4012
"Engineers, Audio Recording ",27-4014
"Engineers, Automotive Sheet Metal",17-2131
"Engineers, Barge ",53-5031
"Engineers, Biomaterials ",17-2031
"Engineers, Bio-Mechanical ",17-2031
"Engineers, Biomedical",17-2031
"Engineers, Boiler ",51-8021
"Engineers, Bridge ",17-2051
"Engineers, Broadcast ",27-4012
"Engineers, Ceramic",17-2131
"Engineers, Chemical",17-2041
"Engineers, Circuit Design ",17-2072
"Engineers, Civil",17-2051
"Engineers, Combustion ",17-2141
"Engineers, Computer Applications ",15-1132
"Engineers, Computer Hardware",17-2061
"Engineers, Computer Network ",15-1143
"Engineers, Construction ",17-2051
"Engineers, Dialysis ",17-2031
"Engineers, Efficiency ",17-2112
"Engineers, Electrical",17-2071
"Engineers, Electrical Systems ",17-2071
"Engineers, Electrical, Except Computer",17-2072
"Engineers, Electronic Design Automation ",17-2072
"Engineers, Environmental",17-2081
"Engineers, Environmental Remediation ",17-2081
"Engineers, Farm Equipment ",17-2021
"Engineers, Ferry ",53-5031
"Engineers, Fire Protection ",17-2111
"Engineers, Flight Test ",17-2011
"Engineers, Forensic Materials ",17-2131
"Engineers, Fuels ",17-2041
"Engineers, Geological, Including Mining Safety Engineers",17-2151
"Engineers, Geophysical ",17-2151
"Engineers, Geo-Technical",17-2051
"Engineers, Health, Except Mining Safety Engineers and Inspectors",17-2111
"Engineers, Heating and Cooling Systems ",17-2141
"Engineers, Highway ",17-2051
"Engineers, Illuminating ",17-2071
"Engineers, Industrial",17-2112
"Engineers, Industrial Product Safety",17-2111
"Engineers, Industrial Safety ",17-2111
"Engineers, Locomotive",53-4011
"Engineers, Manufacturing ",17-2112
"Engineers, Marine",17-2121
"Engineers, Materials",17-2131
"Engineers, Mechanical",17-2141
"Engineers, Metallurgical",17-2131
"Engineers, Mineral ",17-2151
"Engineers, Mining, Including Mining Safety Engineers",17-2151
"Engineers, Miscellaneous",17-2190
"Engineers, Missile Navigation Systems Sales ",41-9031
"Engineers, Natural Gas ",17-2171
"Engineers, Naval ",17-2121
"Engineers, Nuclear",17-2161
"Engineers, Nuclear Equipment Sales ",41-9031
"Engineers, Nuclear Radiation ",17-2161
"Engineers, Ocean",17-2051
"Engineers, Oil Drilling ",17-2171
"Engineers, Oil Exploration ",17-2171
"Engineers, Operating",47-2073
"Engineers, Optical ",17-2199
"Engineers, Ordnance ",17-2199
"Engineers, Packaging ",17-2112
"Engineers, Petroleum",17-2171
"Engineers, Photonics ",17-2199
"Engineers, Plastics ",17-2041
"Engineers, Pollution Control ",17-2081
"Engineers, Polymerization ",17-2041
"Engineers, Power Distribution ",17-2071
"Engineers, Product Safety ",17-2111
"Engineers, Production ",17-2112
"Engineers, Radiation ",17-2161
"Engineers, Rail Yard",53-4013
"Engineers, Railroad  ",53-4011
"Engineers, Reactor  ",17-2161
"Engineers, Safety, Except Mining Safety Engineers and Inspectors",17-2111
"Engineers, Sales",41-9031
"Engineers, Salvage ",17-2199
"Engineers, Seismic ",17-2151
"Engineers, Ship",53-5031
"Engineers, Software Applications ",15-1132
"Engineers, Software Systems ",15-1133
"Engineers, Soil ",17-2081
"Engineers, Stationary",51-8021
"Engineers, Structural ",17-2051
"Engineers, Telecommunication ",17-2072
"Engineers, Tool and Die ",17-2141
"Engineers, Traffic",17-2051
"Engineers, Train ",53-4011
"Engineers, Tugboat ",53-5031
"Engineers, Water Treatment Plant ",17-2081
"Engineers, Welding",17-2131
"English Language and Literature Teachers, Postsecondary",25-1123
"English Language Teachers, Postsecondary",25-1123
"English Literature Teachers, Postsecondary",25-1123
Engravers,51-9194
"Engravers, Metal ",51-9194
"Engravers, Pantograph",51-9194
Enologists,19-1012
Enroute Controllers,53-2021
"Entertainers and Performers, All Other",27-2099
"Entertainers and Performers, Sports and Related Workers",27-2000
"Entertainers and Performers, Sports and Related Workers, All Other",27-2099
"Entertainers and Performers, Sports and Related Workers, Miscellaneous",27-2090
Entertainment Attendants and Related Workers,39-3000
"Entertainment Attendants and Related Workers, All Other",39-3099
"Entertainment Attendants and Related Workers, Miscellaneous",39-3090
"Entertainment Attendants, All Other",39-3099
"Entertainment Related Workers, All Other",39-3099
Envelope Stuffers,43-9199
Environmental Compliance Inspectors,13-1041
Environmental Economists,19-3011
Environmental Engineering Technicians,17-3025
Environmental Engineers,17-2080
Environmental Engineers,17-2081
Environmental Health Sanitarians,29-9011
Environmental Law Professors,25-1112
Environmental Protection Fire Control Officers,33-2022
Environmental Protection Foresters,19-1032
Environmental Protection Officers,29-9011
"Environmental Protection Technicians, Including Health",19-4091
Environmental Remediation Engineering Technicians,17-3025
Environmental Remediation Engineers,17-2081
"Environmental Science and Protection Technicians, Including Health",19-4091
"Environmental Science Teachers, Postsecondary",25-1053
"Environmental Science Technicians, Including Health",19-4091
"Environmental Science, Management, and Policy Professors",25-1053
Environmental Scientists and Geoscientists,19-2040
"Environmental Scientists and Specialists, Including Health",19-2041
"Environmental Scientists, Including Health",19-2041
"Environmental Specialists, Including Health",19-2041
Environmental Studies Professors,25-1053
"Environmentalists, Health ",19-2041
Epidemiologists,19-1041
Epidemiology Investigators,19-1041
Equal Employment Opportunity Officers,13-1041
"Equipment, Cleaners",53-7061
"Equipment, Supplies, and Tools Purchasing Agents",13-1023
"Erectors, Fence",47-4031
"Erectors, Machine ",49-9044
"Erectors, Wind Turbine ",47-2221
Ergonomics Technicians,29-9012
Escalator Installers,47-4021
"Escorts, Blind ",39-9021
"Escorts, Tour",39-7011
Escrow Officers,23-2093
Estate Planners,13-2052
"Estheticians, Medical ",39-5094
"Estimators, Construction Job Cost ",13-1051
"Estimators, Cost",13-1051
"Estimators, Crating and Moving ",13-1051
"Estimators, Production Cost ",13-1051
"Estimators, Timber ",45-4023
Etcher-Circuit Processors,51-9194
Etchers,51-9194
Etchers and Engravers,51-9194
"Etchers, Glass ",51-9194
"Etchers, Silk Screen",51-9194
"Ethnic Studies Teachers, Postsecondary",25-1062
Ethnoarchaeologists,19-3091
Ethnoarchaeology Professors,25-1061
Ethnographic Materials Conservators,25-4013
Ethnologists,19-3099
Ethnology Professors,25-1062
Etymology Professors,25-1123
"Evaluators, Special Project Airborne Electronics ",55-1011
Event Planners,13-1121
"Eviscerators, Poultry ",51-3022
"Examiners, Appeals ",23-1021
"Examiners, Bank ",13-2061
"Examiners, Budget ",13-2031
"Examiners, Cattle ",45-2011
"Examiners, Claims",13-1031
"Examiners, Driver's License ",13-1041
"Examiners, Electric Powerline ",49-9051
"Examiners, Financial",13-2061
"Examiners, Financial Compliance ",13-2061
"Examiners, General Educational Development (GED) ",25-9099
"Examiners, Polygraph ",19-4099
"Examiners, Property and Casualty Insurance Claims ",13-1031
"Examiners, Tax",13-2081
"Examiners, Title",23-2093
Excavating and Loading Machine and Dragline Operators,53-7032
Excavating Machine Operators,53-7032
Executive Administrative Assistants,43-6011
Executive Assistants,43-6011
Executive Chefs,35-1011
Executive Secretaries,43-6011
Executive Secretaries and Executive Administrative Assistants,43-6011
"Executives, Advertising ",11-2011
"Executives, Chief",11-1011
Executors of Estate,13-2099
Exercise Physiologists,29-1128
Exhibit Designers,27-1027
Expediting Clerks,43-5061
Expeditionary Airfield Systems Technicians,55-3012
Expeditors,43-5061
"Experts, Ballistics ",19-4092
"Experts, Ordnance Handling",47-5031
Explosive Technicians,47-5031
Explosives Workers,47-5031
"Explosives Workers, Ordnance Handling Experts, and Blasters",47-5030
"Explosives Workers, Ordnance Handling Experts, and Blasters",47-5031
Export Managers,11-2022
Extension Service Advisors,25-9021
Exterminators,37-2021
"Exterminators, Rodent ",37-2021
Extraction Workers,47-5000
"Extraction Workers, All Other",47-5099
"Extraction Workers, First-Line Supervisors",47-1011
"Extraction Workers, Helpers",47-5081
"Extraction Workers, Miscellaneous",47-5090
"Extruders, Synthetic Filament ",51-6091
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",51-4021
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",51-6091
Extruding Machine Operators,51-9041
"Extruding Machine Operators, Metal and Plastic",51-4021
"Extruding Machine Operators, Synthetic and Glass Fibers",51-6091
Extruding Machine Setters,51-9041
"Extruding Machine Setters, Metal and Plastic",51-4021
"Extruding Machine Setters, Synthetic and Glass Fibers",51-6091
Extruding Machine Tenders,51-9041
"Extruding Machine Tenders, Metal and Plastic",51-4021
"Extruding Machine Tenders, Synthetic and Glass Fibers",51-6091
